id,nev,tipus,kanonikus
2,vásárlók kiszolgálása,feladat,ügyfélszolgálat
3,kötött munkarend betartása,soft,munkarend betartása
5,szendvicskészítés,feladat,termékkészítés
6,árurendezés,feladat,árufeltöltés és rendezés
7,készletkezelés,feladat,készletkezelés
8,barátságos kommunikáció,soft,ügyfélkommunikáció
9,árufeltöltés,feladat,árufeltöltés és rendezés
10,polcrendezés,feladat,árufeltöltés és rendezés
11,lejárati idők figyelése,feladat,lejárati idők figyelése
12,pénztárgép kezelése,feladat,pénztárgép kezelése
13,mirelit péktermékek sütése,feladat,péktermékek sütése
14,aktív értékesítés,feladat,értékesítés
15,beérkező áru átvétele,feladat,áruátvétel és kihelyezés
16,árukészlet feltöltés,feladat,árufeltöltés és rendezés
17,garanciális ügyek intézése,feladat,garanciaügyek kezelése
18,ügyfélpanasz kezelés,feladat,ügyfélpanasz-kezelés
19,vásárlók udvarias kiszolgálása,soft,udvariasság
21,áruátvétel,feladat,áruátvétel és kihelyezés
23,helyben sütés,feladat,helyben sütés és termékkészítés
26,áru kihelyezése,feladat,árufeltöltés és rendezés
27,üzlethálózati szabványok betartása,elvaras,üzlethálózati szabványok betartása
28,pénztárosi feladatok,feladat,pénztárgép kezelése
29,gyorsaság és pontosság,soft,gyorsaság és pontosság
30,áruk kihelyezése,feladat,árufeltöltés és rendezés
32,pult ellenőrzése és feltöltése,feladat,árufeltöltés és rendezés
33,szavatossági idő figyelése,feladat,lejárati idők figyelése
34,HACCP előírások betartása,elvaras,HACCP előírások betartása
46,helyben készített termékek készítése,feladat,helyben sütés és termékkészítés
47,termékek feltöltése,feladat,árufeltöltés és rendezés
48,napi működési feladatok,feladat,napi üzemeltetési feladatok
49,forgácsolás- és lemeztechnológia ismerete,elvaras,forgácsolás- és lemeztechnológia ismerete
50,műszaki affinitás,elvaras,műszaki affinitás
51,értékesítési szakma ismerete,elvaras,értékesítési ismeretek
52,tárgyalási készség,soft,tárgyalási készség
53,angol nyelvtudás,elvaras,angol nyelvtudás
55,termékek bemutatása és ajánlása,feladat,termékbemutatás és -ajánlás
57,önkiszolgáló kasszák kezelése,feladat,önkiszolgáló kassza kezelése
58,pénzkezelés,feladat,pénzkezelési készség
59,áruk értékesítése,feladat,értékesítés
60,pénztárgép használata,feladat,pénztárgép kezelése
61,pénztárkezelés,feladat,pénztárgép kezelése
63,kommunikáció a felettesekkel,soft,belső kommunikáció
64,általános iskolai végzettség,elvaras,általános iskolai végzettség
65,bolti eladói munka,feladat,bolti eladás
67,hosszú távú elköteleződés,soft,elkötelezettség
71,áruk előkészítése és feltöltése,feladat,árufeltöltés és rendezés
72,bolti eladói gyakorlat,elvaras,bolti eladás
76,pénztárazás,feladat,pénztárgép kezelése
78,rendrakás,feladat,rendrakás és takarítás
79,csapatmunka,soft,csapatmunka
80,kereskedelmi végzettség,elvaras,kereskedelmi végzettség
81,kereskedelmi tapasztalat,elvaras,kereskedelmi tapasztalat
83,barátságos viselkedés vevőkkel,soft,ügyfélkommunikáció
84,gépek ismerete,elvaras,gépek ismerete
85,értékesítés,feladat,értékesítés
87,önálló munkavégzés,soft,önálló munkavégzés
88,megbízhatóság,soft,megbízhatóság
89,dohányboltban történő munkavégzés,feladat,dohányboltban történő munkavégzés
90,kereskedelmi szakképesítés,elvaras,kereskedelmi szakképesítés
92,többműszakos munkarend,elvaras,többműszakos munkarend vállalása
95,takarítás,feladat,rendrakás és takarítás
96,szállítókapcsolat-kezelés,feladat,szállítókezelés
97,műszaki értékesítés,feladat,műszaki értékesítés
98,ügyfélkapcsolat-kezelés,feladat,ügyfélkapcsolat-kezelés
99,mélyépítési ismeretek,elvaras,mélyépítési ismeretek
